date,total,price,people
Apr-11,9500,57700,26526
May-11,9500,62100,21425
Jun-11,9500,65700,19114
Jul-11,9500,65200,19921
Aug-11,9500,66400,19120
Sep-11,9300,68900,18244
Oct-11,9000,75000,20857
Nov-11,9000,83300,24651
Dec-11,9000,90800,23589
Jan-12,11000,83900,26174
Feb-12,9000,80700,22224
Mar-12,9000,77600,21482
Apr-12,9000,76300,21811
May-12,9000,74939,22650
Jun-12,9000,73400,35154
Jul-12,10000,82300,28887
Aug-12,8500,75500,38220
Sep-12,8500,76000,39625
Oct-12,8100,73500,41946
Nov-12,7400,73200,45758
Dec-12,8200,74000,94241
Jan-13,7400,73800,61853
Feb-13,9000,83300,24651
Mar-13,9000,90800,23589
Apr-13,11000,83900,26174
May-13,9000,80700,22224
Jun-13,9000,77600,21482
Jul-13,9000,76300,21811
Aug-13,9000,74939,22650
Sep-13,9000,73400,35154
Oct-13,10000,82300,28887
Nov-13,8500,75500,38220
Dec-13,8500,76000,39625
Jan-14,8100,73500,41946
Feb-14,7400,73200,45758
Mar-14,8200,74000,94241
Apr-14,7400,73800,61853
May-14,7400,74400,114121
Jun-14,7400,73800,135677
Jul-14,7400,74600,136098
Aug-14,7400,73600,121550
Sep-14,8300,73800,122219
Oct-14,7400,74000,705332
Nov-14,7400,73500,95595
Dec-14,7447,73600,96972
